predictor,target,threshold,n,prior_target_good_rate,TP,FP_false_safe,FN_false_alarm,TN,accuracy,balanced_accuracy,false_safe_rate,false_alarm_rate,expected_cost
RQD_borehole_direct,RQD_face_scanline,50.0,72,1.0,43,0,29,0,0.5972222222222222,0.5972222222222222,,0.4027777777777778,0.4027777777777778
RQD_borehole_direct,RQD_face_scanline,75.0,72,1.0,33,0,39,0,0.4583333333333333,0.4583333333333333,,0.5416666666666666,0.5416666666666666
RQD_borehole_direct,RQD_face_scanline,90.0,72,1.0,15,0,57,0,0.20833333333333334,0.20833333333333334,,0.7916666666666666,0.7916666666666666
RQD_borehole_direct,RQD_face_jv,50.0,72,0.6666666666666666,36,7,12,17,0.7361111111111112,0.7291666666666667,0.2916666666666667,0.25,1.1388888888888888
RQD_borehole_direct,RQD_face_jv,75.0,72,0.6666666666666666,33,0,15,24,0.7916666666666666,0.84375,0.0,0.3125,0.20833333333333334
RQD_borehole_direct,RQD_face_jv,90.0,72,0.3333333333333333,13,2,11,46,0.8194444444444444,0.75,0.041666666666666664,0.4583333333333333,0.4305555555555556
RQD_borehole_direct,RQD_face_conservative,50.0,72,0.6666666666666666,36,7,12,17,0.7361111111111112,0.7291666666666667,0.2916666666666667,0.25,1.1388888888888888
RQD_borehole_direct,RQD_face_conservative,75.0,72,0.6666666666666666,33,0,15,24,0.7916666666666666,0.84375,0.0,0.3125,0.20833333333333334
RQD_borehole_direct,RQD_face_conservative,90.0,72,0.3333333333333333,13,2,11,46,0.8194444444444444,0.75,0.041666666666666664,0.4583333333333333,0.4305555555555556
RQD_borehole_hudson,RQD_face_scanline,50.0,72,1.0,48,0,24,0,0.6666666666666666,0.6666666666666666,,0.3333333333333333,0.3333333333333333
RQD_borehole_hudson,RQD_face_scanline,75.0,72,1.0,35,0,37,0,0.4861111111111111,0.4861111111111111,,0.5138888888888888,0.5138888888888888
RQD_borehole_hudson,RQD_face_scanline,90.0,72,1.0,16,0,56,0,0.2222222222222222,0.2222222222222222,,0.7777777777777778,0.7777777777777778
RQD_borehole_hudson,RQD_face_jv,50.0,72,0.6666666666666666,36,12,12,12,0.6666666666666666,0.625,0.5,0.25,1.8333333333333333
RQD_borehole_hudson,RQD_face_jv,75.0,72,0.6666666666666666,35,0,13,24,0.8194444444444444,0.8645833333333333,0.0,0.2708333333333333,0.18055555555555555
RQD_borehole_hudson,RQD_face_jv,90.0,72,0.3333333333333333,15,1,9,47,0.8611111111111112,0.8020833333333333,0.020833333333333332,0.375,0.2638888888888889
RQD_borehole_hudson,RQD_face_conservative,50.0,72,0.6666666666666666,36,12,12,12,0.6666666666666666,0.625,0.5,0.25,1.8333333333333333
RQD_borehole_hudson,RQD_face_conservative,75.0,72,0.6666666666666666,35,0,13,24,0.8194444444444444,0.8645833333333333,0.0,0.2708333333333333,0.18055555555555555
RQD_borehole_hudson,RQD_face_conservative,90.0,72,0.3333333333333333,15,1,9,47,0.8611111111111112,0.8020833333333333,0.020833333333333332,0.375,0.2638888888888889
